ATP,CO2,H2,H2S,NH3,O2,PHB,SO4,bm,hv,polyglc
0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.03333333333333333,-0.03333333333333333,0.0,-0.8,0.0
0.0,0.4570757026000461,0.0,0.1868143369316931,-0.07047284615850335,0.0,0.0,-0.1868143369316931,0.005631970443419113,-0.09319080693464521,0.0
0.0,0.0,0.0,0.05,0.0,0.1,0.0,-0.05,0.0,-0.8,0.0
0.3076923076923077,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,-0.6153846153846154,0.0
0.3602941176470588,0.058823529411764705,0.0,0.0,0.0,0.0,0.051470588235294115,0.0,0.0,-0.5294117647058824,0.0
0.0,0.21052631578947367,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,-0.42105263157894735,0.0
0.0,-0.11267605633802817,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.0,-0.7887323943661971,0.0
0.0,0.4375052504421602,0.045671097478305285,0.16739779775678648,-0.06745543469617965,0.0,0.0,-0.16739779775678648,0.005390828314247555,-0.1091817935555343,0.0
0.23776223776223776,0.04195804195804196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6713286713286714,0.04895104895104895
0.3287128712871287,0.05148514851485148,0.0,0.0,0.0,0.0,0.031683168316831684,0.0,0.0,-0.5702970297029702,0.01782178217821782
0.0,0.31906321179099706,0.09700610902680556,0.12207962977596566,-0.049193804246164805,0.03184957774630024,0.0,-0.12207962977596566,0.00393141566739909,-0.2547966219704019,0.0
0.2,0.16842105263157894,0.29473684210526313,0.0,0.0,0.0,0.0,0.0,0.0,-0.3368421052631579,0.0
0.0,0.2230762986271161,0.0,0.07875817362409206,-0.10090591952363825,0.0,0.0,-0.07875817362409206,0.008064086911503097,-0.5104373476895585,0.0
0.0,-0.09837140621162008,0.0,0.0,-0.02859150343598444,0.09675023849102303,0.0,0.0,0.0022849439331882396,-0.7740019079281842,0.0
0.19016368235801093,0.1381426107757387,0.22584460374752796,0.0,-0.021299104069094,0.0,0.0,0.0,0.001702158081123152,-0.42284784096850525,0.0
0.21782178217821782,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.0,-0.7128712871287128,0.039603960396039604
0.10918180704030264,0.05570085072828724,0.03265557181936534,0.0,-0.08680480884627925,0.0,0.0,0.0,0.006937170050849457,-0.708719791514916,0.0
0.18518518518518517,0.0,0.14814814814814814,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,-0.5925925925925926,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0
0.2923497267759563,0.0,0.0,0.0,0.0,0.03551912568306011,0.0273224043715847,0.0,0.0,-0.6338797814207651,0.01092896174863388
0.08124561628186067,0.0,0.0,0.03651324465960296,-0.04245008180113462,0.08887614824791214,0.0,-0.03651324465960296,0.003392478366589516,-0.7110091859832971,0.0
0.20877192982456141,0.0,0.0,0.028070175438596492,0.0,0.07894736842105263,0.017543859649122806,-0.028070175438596492,0.0,-0.631578947368421,0.007017543859649123
0.0,0.5141924163194833,0.0,0.2010641059509453,-0.05079536278297972,0.0,0.028824601756536738,-0.2010641059509453,0.0040594072391097035,0.0,0.0
0.09310789697613749,0.04187550172231151,0.0,0.0,-0.09813562369860304,0.0,0.0,0.0,0.007842693494653804,-0.7590382841082941,0.0
0.0,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.0,0.0,-0.9113924050632911,0.05063291139240506
0.0,0.0,0.0,0.0,-0.08832809797762327,0.03297921152013553,0.0,0.0,0.007058906575371475,-0.8716337839268697,0.0
0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,-0.1111111111111111,0.0,0.0,0.0
0.0706118225679124,0.02917654212311791,0.0,0.04640412260373507,-0.04546903913814859,0.08425562299178865,0.0,-0.04640412260373507,0.0036337440372531437,-0.6740449839343092,0.0
0.1780821917808219,0.4383561643835616,0.0,0.1643835616438356,0.0,0.0,0.0547945205479452,-0.1643835616438356,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,-0.8888888888888888,0.0
0.24926686217008798,0.14076246334310852,0.22287390029325513,0.0,0.0,0.0,0.011730205278592375,0.0,0.0,-0.375366568914956,0.0
0.1007766207634179,0.0,0.0,0.0,-0.07942669074497831,0.02965567802769429,0.0,0.0,0.0063475338244208665,-0.7837934766394886,0.0
0.05263157894736842,0.42105263157894735,0.3157894736842105,0.10526315789473684,0.0,0.0,0.0,-0.10526315789473684,0.0,0.0,0.0
0.0,-0.08791208791208792,0.0,0.0,0.0,0.0989010989010989,0.02197802197802198,0.0,0.0,-0.7912087912087912,0.0
0.0,0.17899399009964392,0.0,0.09782861535718627,-0.06171063034797554,0.062078491933384994,0.0,-0.09782861535718627,0.004931721437542998,-0.49662793546707995,0.0
0.0,0.05504587155963303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8807339449541285,0.06422018348623854
0.0,0.5333333333333333,0.0,0.2,0.0,0.0,0.06666666666666667,-0.2,0.0,0.0,0.0
0.14957734711622803,-0.08984694521977027,0.0,0.0,-0.01194321698514503,0.08307533621814991,0.0,0.0,0.0009544647155074746,-0.6646026897451993,0.0
0.1138153399375509,0.0,0.0,0.034185715678372655,-0.033496843748543004,0.08625176261312681,0.005373557981132315,-0.034185715678372655,0.0026769634578872378,-0.6900141009050145,0.0
0.08429133437155623,0.06303393327177267,0.0,0.009238679069079766,-0.09823276407709541,0.0,0.0,-0.009238679069079766,0.007850456651250332,-0.7281141534901658,0.0
0.0,0.3811962567278815,0.1293267343200908,0.12346947919536098,-0.05877360140512233,0.0,0.0,-0.12346947919536098,0.004697003229051573,-0.1790674459271318,0.0
0.23376623376623376,0.12987012987012986,0.2077922077922078,0.0,0.0,0.0,0.0,0.0,0.0,-0.4155844155844156,0.012987012987012988
0.14929577464788732,0.0,0.0,0.03380281690140845,0.0,0.08450704225352113,0.0,-0.03380281690140845,0.0,-0.676056338028169,0.022535211267605635
0.14084507042253522,-0.08450704225352113,0.0,0.0,0.0,0.08450704225352113,0.0,0.0,0.0,-0.676056338028169,0.014084507042253521
0.0,0.5126473397894498,0.0,0.20750984872321057,-0.05489562207639457,0.0,0.013050253492306256,-0.20750984872321057,0.00438708719542832,0.0,0.0
0.0,0.0,0.0,0.03974211748719634,-0.04620395021065574,0.09673548210810831,0.0,-0.03974211748719634,0.003692475841976804,-0.7738838568648665,0.0
0.0,0.09195402298850575,0.0,0.0,0.0,0.0,0.08045977011494253,0.0,0.0,-0.8275862068965517,0.0
0.20175438596491227,-0.07017543859649122,0.0,0.0,0.0,0.07894736842105263,0.017543859649122806,0.0,0.0,-0.631578947368421,0.0
0.2523364485981308,0.0,0.0,0.037383177570093455,0.0,0.07476635514018691,0.0,-0.037383177570093455,0.0,-0.5981308411214953,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.11499141136137135,0.04302142416146882,0.0,0.0,-0.09067042103987676,0.0,0.003789977492815293,0.0,0.00724609774153894,-0.7402806682029288,0.0
0.0,0.42883852311551646,0.0,0.17327749413141036,-0.07681010630216702,0.0,0.0,-0.17327749413141036,0.006138424542649006,-0.14165795777684678,0.0
0.0991441151224854,-0.08861846018941444,0.0,0.0,-0.025756824127802263,0.08715802170794112,0.0,0.0,0.0020584051888278,-0.697264173663529,0.0
0.0,0.4590049241341083,0.2453570225299662,0.13506623342591448,-0.023618101359838658,0.0,0.0,-0.13506623342591448,0.0018874851242578644,0.0,0.0
0.0,0.5198590405622239,0.0,0.20843436603197454,-0.021637605130566166,0.0,0.0,-0.20843436603197454,0.0017292100320120008,0.0,0.03990541221124894
0.0,0.0,0.0,0.039735099337748346,0.0,0.09933774834437085,0.0,-0.039735099337748346,0.0,-0.7947019867549668,0.026490066225165563
0.0,0.5127860367355785,0.0,0.21416436849539142,-0.05452755393784066,0.0,0.0,-0.21416436849539142,0.004357672335798023,0.0,0.0
0.05,0.5,0.0,0.2,0.0,0.0,0.0,-0.2,0.0,0.0,0.05
0.19821826280623608,0.42761692650334077,0.0,0.16926503340757237,0.0,0.0,0.035634743875278395,-0.16926503340757237,0.0,0.0,0.0
0.0,0.5263157894736842,0.0,0.21052631578947367,0.0,0.0,0.0,-0.21052631578947367,0.0,0.0,0.05263157894736842
0.0,0.5187741321285916,0.0,0.20899766529571373,-0.026321034372687797,0.0,0.0,-0.20899766529571373,0.0021034951148955327,0.0,0.034806007792397654
0.0,0.5157446060685942,0.01540199115094524,0.2037333890849538,-0.022748479139728255,0.0,0.0,-0.2037333890849538,0.0018179876240492492,0.0,0.03682015784677546
0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,-0.7272727272727273,0.0
0.19463087248322147,0.42953020134228187,0.0,0.18791946308724833,0.0,0.0,0.0,-0.18791946308724833,0.0,0.0,0.0
0.22580645161290322,0.0,0.0,0.025806451612903226,0.0,0.07741935483870968,0.025806451612903226,-0.025806451612903226,0.0,-0.6193548387096774,0.0
0.0,0.5333333333333333,0.0,0.23333333333333334,0.0,0.0,0.0,-0.23333333333333334,0.0,0.0,0.0
0.1563039033861509,0.0,0.0,0.0,-0.05937765686107805,0.03169528991668084,0.009525353622030741,0.0,0.0047452774603275035,-0.738352518753732,0.0
0.1504424778761062,0.4247787610619469,0.10619469026548672,0.1415929203539823,0.0,0.0,0.035398230088495575,-0.1415929203539823,0.0,0.0,0.0
0.0,0.3863928237463448,0.0,0.16959614264551615,-0.05957481850321202,0.023342115383835443,0.0,-0.16959614264551615,0.004761034004891874,-0.18673692307068354,0.0
0.17813765182186234,-0.08906882591093117,0.0,0.0,0.0,0.08097165991902834,0.0,0.0,0.0,-0.6477732793522267,0.004048582995951417
0.0,-0.09836065573770492,0.0,0.0,0.0,0.09836065573770492,0.0,0.0,0.0,-0.7868852459016393,0.01639344262295082
0.0,0.04617473410859513,0.0,0.0,-0.1082109143649924,0.0,0.0,0.0,0.008647879354670535,-0.8369664721717419,0.0
0.0,0.4947565424097402,0.08142676013582381,0.17922366576340448,-0.04475029089024933,0.0,0.017042771122229444,-0.17922366576340448,0.0035763039151481928,0.0,0.0
0.1839080459770115,-0.09195402298850575,0.0,0.0,0.0,0.08045977011494253,0.0,0.0,0.0,-0.6436781609195402,0.0
