M_M_CO2ex_gen_fap,M_M_NH3ex_gen_fap,M_M_hv_gen_fap,M_M_O2expool_gen_fap,M_M_H2pool_gen_fap,M_M_ATPex_fap,M_M_PHB_fap,M_M_SO4ex_gen_srb,M_M_H2Sex_gen_srb,M_M_NH3ex_gen_srb,M_M_H2pool_gen_srb,M_M_CO2ex_gen_srb,M_M_ATPex_srb,M_M_CO2ex_gen_syn,M_M_NH3_syn,M_M_hv_gen_syn,M_M_O2expool_gen_syn,M_M_polyglcex_gen_syn,M_bm_fap_srb_syn,M_bm,objective
1.407000000000000000e+05,-7.500000000000000000e+04,-2.435250000000000000e+05,-4.305000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.880160000000000000e+05,6.880160000000000000e+05,-7.508000000000000000e+04,-2.739136000000000000e+06,0.000000000000000000e+00,2.267200000000000000e+04,-9.680760000000000000e+05,-7.500000000000000000e+04,-8.834508000000000000e+06,8.575260000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,-4.900000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.849000000000000000e+05,-5.250000000000000000e+05,-5.018475000000000000e+06,0.000000000000000000e+00,6.027000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-4.725424000000000000e+06,4.725424000000000000e+06,-5.255600000000000000e+05,-1.881120000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,-6.776532000000000000e+06,-5.250000000000000000e+05,-6.184155600000000000e+07,6.002682000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+04,4.200000000000000000e+04
1.876000000000000000e+05,-1.000000000000000000e+05,-9.559000000000000000e+05,0.000000000000000000e+00,1.148000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-3.448321000000000000e+06,3.448321000000000000e+06,-1.001040000000000000e+05,0.000000000000000000e+00,6.888022000000000000e+06,0.000000000000000000e+00,-8.178790000000000000e+06,-1.000000000000000000e+05,-6.688352000000000000e+07,8.031390000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+03
3.283000000000000000e+05,-1.750000000000000000e+05,-5.682250000000000000e+05,-1.004500000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.729548000000000000e+06,1.729548000000000000e+06,-1.751820000000000000e+05,-6.888022000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-2.258844000000000000e+06,-1.750000000000000000e+05,-2.061385200000000000e+07,2.000894000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+04,1.400000000000000000e+04
6.210000000000000000e+04,-7.500000000000000000e+04,-8.348250000000000000e+05,0.000000000000000000e+00,7.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-6.880160000000000000e+05,6.880160000000000000e+05,-7.508000000000000000e+04,-2.739136000000000000e+06,0.000000000000000000e+00,2.267200000000000000e+04,-8.894760000000000000e+05,-7.500000000000000000e+04,-7.852008000000000000e+06,8.182260000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.294171000000000000e+06,2.294171000000000000e+06,-7.507800000000000000e+04,0.000000000000000000e+00,4.581878000000000000e+06,0.000000000000000000e+00,-4.857854000000000000e+06,0.000000000000000000e+00,-3.886283200000000000e+07,4.857854000000000000e+06,0.000000000000000000e+00,6.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.690000000000000000e+04,-2.500000000000000000e+04,-8.117500000000000000e+04,-1.435000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.602200000000000000e+05,2.602200000000000000e+05,-2.502600000000000000e+04,-1.036570000000000000e+06,0.000000000000000000e+00,2.299800000000000000e+04,-3.226920000000000000e+05,-2.500000000000000000e+04,-2.944836000000000000e+06,2.858420000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+03,2.000000000000000000e+03
5.550000000000000000e+04,-5.000000000000000000e+04,-4.875000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.284480000000000000e+05,4.284480000000000000e+05,-5.005200000000000000e+04,-2.073140000000000000e+06,-1.839840000000000000e+05,0.000000000000000000e+00,-4.231000000000000000e+05,-5.000000000000000000e+04,-4.025225000000000000e+06,3.589750000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+03,4.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.033400000000000000e+04,8.033400000000000000e+04,-9.385000000000000000e+03,-3.423920000000000000e+05,-1.133600000000000000e+04,0.000000000000000000e+00,-2.316100000000000000e+04,0.000000000000000000e+00,-1.852880000000000000e+05,2.316100000000000000e+04,0.000000000000000000e+00,7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.690000000000000000e+04,-2.500000000000000000e+04,-8.117500000000000000e+04,-1.435000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.142240000000000000e+05,2.142240000000000000e+05,-2.502600000000000000e+04,-1.036570000000000000e+06,-9.199200000000000000e+04,0.000000000000000000e+00,-2.307000000000000000e+05,-2.500000000000000000e+04,-2.208900000000000000e+06,1.938500000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+03,2.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.838000000000000000e+03,-5.000000000000000000e+02,-1.572400000000000000e+04,1.795000000000000000e+03,0.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.906780000000000000e+05,5.906780000000000000e+05,-6.569500000000000000e+04,-2.351400000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-2.414790000000000000e+05,0.000000000000000000e+00,-1.931832000000000000e+06,2.414790000000000000e+05,0.000000000000000000e+00,5.250000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.407000000000000000e+05,-7.500000000000000000e+04,-2.435250000000000000e+05,-4.305000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.880160000000000000e+05,6.880160000000000000e+05,-7.508000000000000000e+04,-2.739136000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-9.680760000000000000e+05,-7.500000000000000000e+04,-8.834508000000000000e+06,8.575260000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
6.210000000000000000e+04,-7.500000000000000000e+04,-8.348250000000000000e+05,0.000000000000000000e+00,7.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.294171000000000000e+06,2.294171000000000000e+06,-7.507800000000000000e+04,0.000000000000000000e+00,4.581878000000000000e+06,0.000000000000000000e+00,-5.471354000000000000e+06,-7.500000000000000000e+04,-4.450703200000000000e+07,5.400104000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
8.280000000000000000e+04,-1.000000000000000000e+05,-1.113100000000000000e+06,0.000000000000000000e+00,1.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-3.448321000000000000e+06,3.448321000000000000e+06,-1.001040000000000000e+05,0.000000000000000000e+00,6.888022000000000000e+06,0.000000000000000000e+00,-8.073990000000000000e+06,-1.000000000000000000e+05,-6.557352000000000000e+07,7.978990000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+03
2.070000000000000000e+04,-2.500000000000000000e+04,-2.782750000000000000e+05,0.000000000000000000e+00,2.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.602200000000000000e+05,2.602200000000000000e+05,-2.502600000000000000e+04,-1.036570000000000000e+06,0.000000000000000000e+00,2.299800000000000000e+04,-2.964920000000000000e+05,-2.500000000000000000e+04,-2.617336000000000000e+06,2.727420000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+03,2.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,-4.000000000000000000e+00,0.000000000000000000e+00,-3.200000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.550000000000000000e+04,-5.000000000000000000e+04,-4.875000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.204400000000000000e+05,5.204400000000000000e+05,-5.005200000000000000e+04,-2.073140000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-6.070840000000000000e+05,-5.000000000000000000e+04,-5.497097000000000000e+06,5.429590000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+03,4.000000000000000000e+03
1.407000000000000000e+05,-7.500000000000000000e+04,-2.435250000000000000e+05,-4.305000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.294171000000000000e+06,2.294171000000000000e+06,-7.507800000000000000e+04,0.000000000000000000e+00,4.581878000000000000e+06,0.000000000000000000e+00,-5.549954000000000000e+06,-7.500000000000000000e+04,-4.548953200000000000e+07,5.439404000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
3.283000000000000000e+05,-1.750000000000000000e+05,-1.672825000000000000e+06,0.000000000000000000e+00,2.009000000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-1.729548000000000000e+06,1.729548000000000000e+06,-1.751820000000000000e+05,-6.888022000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-2.258844000000000000e+06,-1.750000000000000000e+05,-2.061385200000000000e+07,2.000894000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+04,1.400000000000000000e+04
3.885000000000000000e+05,-3.500000000000000000e+05,-3.412500000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.459096000000000000e+06,3.459096000000000000e+06,-3.503640000000000000e+05,-1.377604400000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,-4.249588000000000000e+06,-3.500000000000000000e+05,-3.847967900000000000e+07,3.800713000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+04,2.800000000000000000e+04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00,-1.400000000000000000e+01,0.000000000000000000e+00,-1.120000000000000000e+02,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.600200000000000000e+04,8.600200000000000000e+04,-9.385000000000000000e+03,-3.423920000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-3.449700000000000000e+04,0.000000000000000000e+00,-2.759760000000000000e+05,3.449700000000000000e+04,0.000000000000000000e+00,7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.600200000000000000e+04,8.600200000000000000e+04,-9.385000000000000000e+03,-3.423920000000000000e+05,0.000000000000000000e+00,2.834000000000000000e+03,-3.449700000000000000e+04,0.000000000000000000e+00,-2.759760000000000000e+05,3.449700000000000000e+04,0.000000000000000000e+00,7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.210000000000000000e+04,-7.500000000000000000e+04,-8.348250000000000000e+05,0.000000000000000000e+00,7.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-6.426720000000000000e+05,6.426720000000000000e+05,-7.508000000000000000e+04,-2.739136000000000000e+06,-9.068800000000000000e+04,0.000000000000000000e+00,-7.987880000000000000e+05,-7.500000000000000000e+04,-7.126504000000000000e+06,7.275380000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.849000000000000000e+05,-5.250000000000000000e+05,-1.704675000000000000e+06,-3.013500000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.725424000000000000e+06,4.725424000000000000e+06,-5.255600000000000000e+05,-1.881120000000000000e+07,0.000000000000000000e+00,0.000000000000000000e+00,-6.776532000000000000e+06,-5.250000000000000000e+05,-6.184155600000000000e+07,6.002682000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+04,4.200000000000000000e+04
1.407000000000000000e+05,-7.500000000000000000e+04,-2.435250000000000000e+05,-4.305000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.426720000000000000e+05,6.426720000000000000e+05,-7.508000000000000000e+04,-2.739136000000000000e+06,-9.068800000000000000e+04,0.000000000000000000e+00,-8.773880000000000000e+05,-7.500000000000000000e+04,-8.109004000000000000e+06,7.668380000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.301100000000000000e+05,1.301100000000000000e+05,-1.251300000000000000e+04,-5.182850000000000000e+05,0.000000000000000000e+00,1.149900000000000000e+04,-4.599600000000000000e+04,0.000000000000000000e+00,-3.679680000000000000e+05,4.599600000000000000e+04,0.000000000000000000e+00,1.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.407000000000000000e+05,-7.500000000000000000e+04,-7.169250000000000000e+05,0.000000000000000000e+00,8.610000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-2.294171000000000000e+06,2.294171000000000000e+06,-7.507800000000000000e+04,0.000000000000000000e+00,4.581878000000000000e+06,0.000000000000000000e+00,-5.549954000000000000e+06,-7.500000000000000000e+04,-4.548953200000000000e+07,5.439404000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03,6.000000000000000000e+03
2.070000000000000000e+04,-2.500000000000000000e+04,-2.782750000000000000e+05,0.000000000000000000e+00,2.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.142240000000000000e+05,2.142240000000000000e+05,-2.502600000000000000e+04,-1.036570000000000000e+06,-9.199200000000000000e+04,0.000000000000000000e+00,-2.045000000000000000e+05,-2.500000000000000000e+04,-1.881400000000000000e+06,1.807500000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+03,2.000000000000000000e+03
1.449000000000000000e+05,-1.750000000000000000e+05,-1.947925000000000000e+06,0.000000000000000000e+00,1.750000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-1.729548000000000000e+06,1.729548000000000000e+06,-1.751820000000000000e+05,-6.888022000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,-2.075444000000000000e+06,-1.750000000000000000e+05,-1.832135200000000000e+07,1.909194000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+04,1.400000000000000000e+04
4.690000000000000000e+04,-2.500000000000000000e+04,-2.389750000000000000e+05,0.000000000000000000e+00,2.870000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,-2.602200000000000000e+05,2.602200000000000000e+05,-2.502600000000000000e+04,-1.036570000000000000e+06,0.000000000000000000e+00,2.299800000000000000e+04,-3.226920000000000000e+05,-2.500000000000000000e+04,-2.944836000000000000e+06,2.858420000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+03,2.000000000000000000e+03
1.665000000000000000e+05,-1.500000000000000000e+05,-1.462500000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.376032000000000000e+06,1.376032000000000000e+06,-1.501600000000000000e+05,-5.478272000000000000e+06,0.000000000000000000e+00,4.534400000000000000e+04,-1.821252000000000000e+06,-1.500000000000000000e+05,-1.649129100000000000e+07,1.628877000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+04,1.200000000000000000e+04
