ATP,CO2,H2,NH3,O2,PHB,ac,bm,glyc,hv,dG
0.0,1.0,0.0,0.0,0.0,1.5,-3.0,0.0,-0.5,-12.0,11.570117044540023
0.0,0.827672553877301,0.0997362742747542,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.7278297237539626,-11.13061083140201,-888.0451299548322
5.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1763.6893013163813
0.0,0.0,-4.055904525959669,-1.0,-1.4570659847092358,0.0,-0.5239351074882123,0.0799168864381043,-1.313993446815312,0.0,-1620.8217908836216
0.0,0.179226937318522,-3.836013212925225,-1.0,-2.183343988918192,0.0,-1.927542022962785,0.0799168864381043,0.0,0.0,-1512.6045294860314
0.0,2.7414013870019622,0.0,-1.0,-0.8985002264311782,0.2164646545370592,0.0,0.0799168864381043,-3.641558556878624,0.0,-1598.0086604672183
0.0,1.0,0.0,0.0,-0.7019230769230769,0.5961538461538461,-1.6923076923076923,0.0,0.0,0.0,-20.80279249684665
0.0,0.827672553877301,0.0,-1.0,-0.9137829990143584,0.0,-2.2517648312421747,0.0799168864381043,0.0,-11.398718665920777,-847.9664018666367
0.0,0.0,-3.25,0.0,-1.0,1.25,-2.5,0.0,0.0,0.0,24.94666782139791
0.0,0.827672553877301,0.0,-1.0,0.0,0.0997362742747542,-0.7234076560377207,0.0799168864381043,-1.7278297237539626,-11.878632888462665,-835.3151106147554
0.0,1.8571428571428568,0.0,0.0,-0.4285714285714285,1.0,-1.0714285714285714,0.0,-1.8571428571428568,0.0,22.86964539398454
0.0,4.0,7.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-9.5,-23.088921066948682
0.0,0.827672553877301,-2.4307733290711,-1.0,-1.0032872479288206,0.0,0.0,0.0799168864381043,-2.2517648312421747,0.0,-1796.5071400017778
0.0,0.179226937318522,-3.607837182663364,-1.0,-1.3674525160499746,0.0,-0.5239351074882123,0.0799168864381043,-1.4036069154745732,0.0,-1675.687851218364
0.0,0.7611817043607981,0.0,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.6945842989957112,-11.346706092330642,-886.6848519146511
0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-17.207583580220874
0.0,0.179226937318522,-0.4871200618023922,-1.0,0.0,0.0,-0.9097471962492342,0.0799168864381043,-1.0177948267135513,-15.217773515543836,-723.2307876522704
0.0,0.827672553877301,0.0,-1.0,0.0,0.8097711713151655,-2.8535123471589547,0.0799168864381043,-1.0177948267135513,-20.3990516529476,-504.2389387993645
0.0,0.827672553877301,-2.116412264578172,-1.0,-1.1080742694264631,0.0,-0.5239351074882123,0.0799168864381043,-1.7278297237539626,0.0,-1858.6466803274914
0.0,44.0,62.0,0.0,-13.0,0.0,-22.0,0.0,0.0,0.0,-56.741068511904
0.0,-1.0,-2.25,0.0,0.0,0.25,0.0,0.0,0.0,-6.0,22.822776367689173
5.0,2.6666666666666665,0.0,0.0,-1.0,0.6666666666666666,0.0,0.0,-2.6666666666666665,0.0,-1169.021764178019
0.0,-0.5923972402035217,-2.03036841684648,-1.0,-0.5088974133567756,0.0,-1.5417299342017634,0.0799168864381043,0.0,-19.05933828818029,-552.5459360498813
0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,-0.75,-24.846188045998375
0.0,-1.6666666666666667,-5.75,0.0,-1.0,0.4166666666666667,0.0,0.0,0.0,0.0,35.06466510351888
0.0,-3.675857108607049,-14.475923706012416,-1.0,-3.648215189536216,0.0,0.0,0.0799168864381043,0.0,0.0,-583.8551142620163
0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.5,-1.0,38.5282838671534
0.0,0.179226937318522,-0.4871200618023922,-1.0,-0.5088974133567756,0.0,-1.927542022962785,0.0799168864381043,0.0,-16.74446575561416,-661.2773483339562
0.0,0.0,-9.5,0.0,-1.0,2.5,0.0,0.0,-5.0,0.0,65.82271958138196
0.0,1.0,0.0,0.0,-0.4615384615384615,0.5769230769230769,-1.1538461538461535,0.0,-0.5,0.0,-0.28774191281920025
0.0,1.1104717760196063,0.0,-1.0,0.0,0.0,0.0,0.0799168864381043,-2.393164442313328,-9.7500732571459,-949.9466855807066
0.0,1.0,0.0,0.0,-0.75,0.0,0.0,0.0,-0.5,0.0,-58.61789699021813
0.0,0.827672553877301,0.0,-1.0,0.0,0.0,-0.424198833213458,0.0799168864381043,-1.8275659980287169,-10.881270145715122,-907.6822150098466
0.0,1.0,0.0,0.0,0.0,1.75,-3.75,0.0,-0.25,-15.5,9.968510095954915
0.0,4.0,6.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-2.0,-47.86209187089177
0.0,2.308472077927844,0.0,-1.0,-0.8985002264311782,0.0,0.0,0.0799168864381043,-2.992164593267446,0.0,-1892.304390739056
0.0,1.0,1.75,0.0,-0.125,0.0,-0.5,0.0,0.0,-2.75,-28.249796028287587
0.0,0.0,-4.302003249953382,-1.0,-2.2371120701137484,0.0,-1.8379285543035244,0.0799168864381043,0.0,0.0,-1469.6077638497402
0.0,29.33333333333333,20.0,0.0,-1.0,7.333333333333333,0.0,0.0,-29.33333333333333,0.0,9.680033259798023
0.0,0.827672553877301,-0.424198833213458,-1.0,0.0,0.0,0.0,0.0799168864381043,-2.2517648312421747,-10.032872479288208,-929.7643576914656
0.0,0.179226937318522,-3.530674764911159,-1.0,-1.5217773515543835,0.0,-0.9097471962492342,0.0799168864381043,-1.0177948267135513,0.0,-1667.8359145296445
0.0,2.2984749623832075,0.0,-1.0,-2.384585407520265,0.0,-2.987166035495128,0.0799168864381043,0.0,0.0,-1632.9457568375183
0.0,0.0,-0.75,0.0,0.0,0.25,0.0,0.0,-0.5,-1.0,49.457268128221486
0.0,0.0,-0.125,0.0,0.0,0.125,-0.25,0.0,0.0,-1.0,16.74640622078968
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-937.1927773193593
0.0,0.827672553877301,0.0,-1.0,-0.4048855856575827,0.0,-1.2339700045286237,0.0799168864381043,-1.0177948267135513,-9.872026425850448,-955.364020811495
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-7.528629798594439e-14
0.0,-1.640267455179946,-8.470934228402461,-1.0,-2.172412690801566,0.0,0.0,0.0799168864381043,-1.0177948267135513,0.0,-936.7725549739142
0.0,0.0,-3.996664801939316,-1.0,-1.57554543274994,0.0,-0.820133727589973,0.0799168864381043,-1.0177948267135513,0.0,-1615.3546297770106
0.0,0.827672553877301,0.8097711713151655,-1.0,0.0,0.0,-1.2339700045286237,0.0799168864381043,-1.0177948267135513,-14.32576786808386,-713.7115438833879
0.0,0.0,-1.6657076640294095,-1.0,0.0,0.0,0.0,0.0799168864381043,-1.8379285543035244,-13.522789632115932,-746.2972968417996
0.0,-0.5923972402035217,-2.03036841684648,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.0177948267135513,-17.532646048109967,-594.2135543928277
0.0,0.179226937318522,-0.872932150563414,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.4036069154745732,-13.674525160499748,-767.2393011593688
0.0,-3.675857108607049,-8.197288153653533,-1.0,-0.5088974133567756,0.0,0.0,0.0799168864381043,0.0,-31.3931777617944,-294.20250886113075
0.0,-1.640267455179946,-4.126108846799329,-1.0,0.0,0.0,0.0,0.0799168864381043,-1.0177948267135513,-21.724126908015663,-451.5272617422871
0.0,-0.5923972402035217,-5.842236074482538,-1.0,-2.414831242174805,0.0,-1.5417299342017634,0.0799168864381043,0.0,0.0,-1203.7645705475775
0.0,2.143942743990694,0.0,-1.0,-1.3920882282426277,0.0,-1.2339700045286237,0.0799168864381043,-1.675929921770248,0.0,-1855.6703549093454
0.0,1.8755427688537252,-0.6493939636111777,-1.0,-0.8985002264311782,0.0,0.0,0.0799168864381043,-2.775699938730387,0.0,-1886.7628172686339
0.0,1.8755427688537252,0.0,-1.0,-0.5738032446255894,0.0,0.0,0.0799168864381043,-2.775699938730387,-3.2469698180558884,-1436.053494753936
0.0,0.179226937318522,-3.922198247156291,-1.0,-1.2626654945523323,0.0,0.0,0.0799168864381043,-1.927542022962785,0.0,-1623.904381253262
0.0,1.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0,-87.27996302853643
0.0,0.0,-4.370265590452596,-1.0,-1.3522789632115932,0.0,0.0,0.0799168864381043,-1.8379285543035244,0.0,-1571.980316730328
0.0,0.0,-0.8455739364394363,-1.0,0.0,0.0,-0.820133727589973,0.0799168864381043,-1.0177948267135513,-15.7554543274994,-698.4581671814042
0.0,0.4227869682197182,0.0,-1.0,0.0,0.0,-1.0315272116998322,0.0799168864381043,-1.0177948267135513,-14.730653453741445,-749.5369329833247
0.0,1.0,0.0,0.0,0.0,1.0,-1.5,0.0,-1.0,-6.0,17.255963917634965
0.0,0.4227869682197182,0.0,-1.0,-0.5088974133567756,0.0,-2.0493220384133832,0.0799168864381043,0.0,-16.257345693811768,-683.0913801270228
0.0,14.666666666666666,20.0,0.0,-1.0,0.0,0.0,0.0,-7.333333333333333,0.0,-32.980537052804024
0.0,0.0,-1.1417725565411971,-1.0,0.0,0.0,-0.5239351074882123,0.0799168864381043,-1.313993446815312,-14.570659847092358,-729.4379916581352
0.0,1.0,0.0,0.0,-0.125,1.75,-4.0,0.0,0.0,-15.875,7.85250681157459
0.0,0.827672553877301,-2.279743733184155,-1.0,-2.053654865606436,0.0,-2.2517648312421747,0.0799168864381043,0.0,0.0,-1651.5756370058689
0.0,2.6666666666666665,2.0,0.0,0.0,0.6666666666666666,0.0,0.0,-2.6666666666666665,-1.0,9.028137821647382
3.875,1.0,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0,-1743.226030417081
0.0,0.827672553877301,-1.9744052851700895,-1.0,-1.3920882282426277,0.0,-1.2339700045286237,0.0799168864381043,-1.0177948267135513,0.0,-1839.3743685979032
0.0,0.827672553877301,0.0,-1.0,-0.0498681371373771,0.0,-0.5239351074882123,0.0799168864381043,-1.7278297237539626,-10.58206132289086,-924.1472165621117
0.0,0.827672553877301,0.8097711713151655,-1.0,-0.5088974133567756,0.0,-2.2517648312421747,0.0799168864381043,0.0,-15.852460108154188,-653.8379429173601
0.0,0.827672553877301,0.0,-1.0,-0.5088974133567756,0.8097711713151655,-3.871307173872506,0.0799168864381043,0.0,-21.925743893017927,-474.9268932588793
0.0,0.0,-0.8455739364394363,-1.0,-0.5088974133567756,0.0,-1.8379285543035244,0.0799168864381043,0.0,-17.28214656756973,-640.6472540111133
0.0,1.8755427688537252,1.1476064892511788,-1.0,0.0,0.0,0.0,0.0799168864381043,-2.775699938730387,-9.558805508937372,-832.6938620257109
0.0,0.179226937318522,-1.3968672580516264,-1.0,0.0,0.0,0.0,0.0799168864381043,-1.927542022962785,-12.626654945523322,-786.1272652193018
0.0,12.666666666666666,0.0,0.0,-1.0,5.666666666666667,0.0,0.0,-17.666666666666668,0.0,42.45302282000813
3.75,1.0,0.0,0.0,-0.75,0.0,0.0,0.0,-0.5,0.0,-1779.2181688451303
0.0,1.0,0.0,0.0,-0.25,1.5,-3.5,0.0,0.0,-11.75,6.775137081020568
0.0,-0.5923972402035217,-5.536897626468472,-1.0,-1.7532646048109966,0.0,-0.5239351074882123,0.0799168864381043,-1.0177948267135513,0.0,-1297.0942180679524
0.0,2.101482415277359,0.0,-1.0,-1.6786954470576407,0.0,-1.8708749352286524,0.0799168864381043,-1.0177948267135513,0.0,-1815.7519919800884
